Dynamic
p	grain	speedup
1	1		9.07972502708
1	4		9.08794689178
1	16		9.07533407211
1	64		9.06841301918
1	256		9.07063007355
2	1		4.56068992615
2	4		4.56750583649
2	16		4.62475013733
2	64		4.838337183
2	256		5.80060005188
4	1		3.07764101028
4	4		30.3486359119
4	16		26.7798988819
4	64		7.43635582924
4	256		7.42752695084
8	1		1.37300419807
8	4		13.370661974
8	16		11.7150969505
8	64		10.0836548805
8	256		3.88687109947
16	1		0.762965202332
16	4		4.78073906898
16	16		5.62358498573
16	64		6.91271400452
16	256		4.81786203384
32	1		0.52396607399
32	4		3.9992377758
32	16		4.36067199707
32	64		1.81535506248
32	256		6.20199990273

Static
p	grain	speedup
1	1		9.06763386726
1	4		9.07182812691
1	16		9.07479810715
1	64		9.09797382355
1	256		9.07023906708
2	1		4.55780792236
2	4		4.55829501152
2	16		4.61853098869
2	64		4.91844010353
2	256		5.79414510727
4	1		3.0638229847
4	4		30.4050798416
4	16		26.4612410069
4	64		7.38779616356
4	256		7.39958906174
8	1		1.42475891113
8	4		13.502311945
8	16		11.566475153
8	64		9.99524903297
8	256		3.84429001808
16	1		0.728621959686
16	4		5.10762095451
16	16		5.53311014175
16	64		6.83788704872
16	256		4.74052500725
32	1		0.553689956665
32	4		4.21174192429
32	16		4.25227308273
32	64		1.94913101196
32	256		5.91125392914
